,total_rank,nickname,rank,kills,damage_dealt,walk_distance,ride_distance,time_survived
66,93,BIGJJBOY-666,45,1,160,385.0699,0.0,407.11699999999996
67,93,xoxo343ou5,65,0,0,160.871948,0.0,185.705
68,93,OoldDriver_Liu,53,3,300,325.8337,0.0,283.84
69,93,Rzbar,84,0,12,38.477909999999994,0.0,111.67200000000001
70,93,Lm_holylight,49,1,100,428.3844,163.941422,319.152
71,93,RouSnrxin,79,0,15,235.663452,0.0,128.24
72,93,YsiiiDN,89,0,0,12.4205189,0.0,97.55
73,93,BFY-GG175,76,1,124,94.8530655,0.0,136.214
74,93,Gdemzhang,61,0,0,128.606781,0.0,223.18
75,93,Yqhpi_xdd,85,0,0,9.060754,0.0,107.044
76,93,PENTA6KilL,4,1,100,1865.34692,9327.019,1652.484
77,93,JianDan_zF,78,1,100,0.0,0.0,128.435
78,93,LongzhuTV2553704,93,0,0,26.3717365,0.0,86.49799999999999
79,93,adfgsdf13546,43,1,100,416.06124900000003,0.0,862.703
80,93,oWGYo,2,4,399,2043.97327,1328.90283,1812.8220000000001
81,93,SF_kuaidiyuan007,91,0,0,41.94357,0.0,97.167
82,93,xman_ajun,10,0,118,1816.42688,0.0,1251.6960000000001
83,93,Tiffanylzt,7,3,295,3066.30664,799.6127,1455.9879999999998
84,93,GrimmChan,3,1,84,4185.25635,1926.043,1768.839
85,93,lh990-0,22,0,66,1040.54639,4413.165529999999,924.837
86,93,1766792144,15,1,373,1630.47046,0.0,988.529
87,93,QQYJDA,18,0,32,2527.4484899999998,4245.735,951.702
88,93,dagele,68,0,66,103.11454,0.0,175.395
89,93,,21,2,216,1092.264,5690.94141,925.873
90,93,huashuiLYB,11,1,103,3143.18774,610.8498,1162.503
91,93,XUANZI1996,33,0,23,912.0977,3549.7705100000003,706.312
92,93,ZTEPIXIE,71,0,0,361.698547,0.0,159.19299999999998
0,84,RagAlpha,2,3,266,3813.683,1616.62781,1585.779
1,84,fuwei1121,47,0,42,191.03186000000002,6020.09766,419.798
2,84,13813420629,8,1,63,2617.57153,0.0,1326.378
3,84,Tg6338-168,67,1,42,112.70376599999999,0.0,162.751
4,84,god_br0ther,32,3,237,1141.78955,433.4983,907.581
5,84,DUD010,26,3,344,1448.6262199999999,1211.67029,1052.7060000000001
6,84,victorys11,59,1,138,391.4644,0.0,228.137
7,84,bigcourier,45,0,26,982.2193,0.0,554.238
8,84,aihonghan,57,2,175,235.429214,0.0,265.5
9,84,outlaw704,43,0,0,1856.91858,0.0,642.735
10,84,sangchaoyang666,37,1,100,1713.69824,0.0,750.326
11,84,DQmini,82,0,0,17.577679999999997,0.0,95.619
12,84,LiaoZhengChi,17,0,22,1532.5791,5116.562,1123.818
13,84,litianyansb,51,0,0,559.1336,0.0181661956,338.911
14,84,fgjklbaseio,52,0,0,514.9821,1345.73474,327.764
15,84,YOURNAMEMY,10,8,940,3472.67285,291.45752000000005,1292.563
16,84,SnakeZYD,40,2,358,965.19635,0.0,682.465
17,84,SunLe90,21,0,32,2518.3457,0.0,1098.474
18,84,werwerw,31,1,151,1553.52344,2449.47583,907.836
19,84,GgAinB,53,0,92,109.86903400000001,0.0,320.248
20,84,baiyangege,72,0,0,173.277145,0.0,120.11399999999999
21,84,xty160504,75,0,0,0.0,0.0,168.808
22,84,LYB-nainiu,25,1,123,1948.67627,3646.1752899999997,1077.1960000000001
23,84,chenruifeng666,77,1,100,36.5069275,0.0,105.729
24,84,YINGDZ990124,69,0,62,105.88717700000001,0.0,157.25
